Accounting Program Code,Accounting Program Description,prog_abb,prog_full,min_year,max_year,min_file_year,max_file_year
2728,SPECIALITY CROP HURRICANE DISASTER - CITRUS,CDP,Crop Disaster Program,2005,2005,2008,2008
2730,SPECIALITY CROP HURRICANE DISASTER - FRUIT/VEG,CDP,Crop Disaster Program,2005,2005,2008,2009
2732,SPECIALITY CROP HURRICANE DISASTER - NURSERY,CDP,Crop Disaster Program,2005,2005,2008,2009
2687,01-02 CROP DISASTER ASSISTANCE PROGRAM,CDP,Crop Disaster Program,2008,2008,2008,2008
2736,05 - 07 CROP DISASTER ASSISTANCE,CDP,Crop Disaster Program,2008,2008,2008,2008
2687,CROP DISASTER PROGRAM,CDP,Crop Disaster Program,NA,NA,2011,2011
2736,CROP DISASTER PROGRAM,CDP,Crop Disaster Program,NA,NA,2011,2011
2752,CROP DISASTER ASSISTANCE PROG AUTHORIZED,CDP,Crop Disaster Program,NA,NA,2011,2013
4920,CFAPCARES,CFAP,Coronavirus Food Assistance Program,2020,2020,2020,2025
4921,CFAPCARES2,CFAP,Coronavirus Food Assistance Program,2020,2020,2020,2024
4922,CFAPCARES2.1,CFAP,Coronavirus Food Assistance Program,2020,2020,2022,2024
4923,CFAP3 - LTU,CFAP,Coronavirus Food Assistance Program,2020,2020,2022,2025
4924,CFAP3 - TUP,CFAP,Coronavirus Food Assistance Program,2020,2020,2022,2025
4925,CFAPCCCCA,CFAP,Coronavirus Food Assistance Program,2020,2020,2020,2025
4926,CFAPCCA2,CFAP,Coronavirus Food Assistance Program,2020,2020,2020,2025
2441,COTTON GINNING COST SHARE PROGRAM,CGCS,Cotton Ginning Cost Share Program,2015,2016,2016,2019
4928,"CORONAVIRUS AID, CCC CHARTER ACT (OLP)",COVID-Unspecified,COVID-Unspecified,2020,2020,2022,2024
4929,"CORONAVIRUS AID, CCC CHARTER ACT (OLP)",COVID-Unspecified,COVID-Unspecified,2020,2020,2022,2024
3305,AUTOMATED CONSERVATION RESERVE PROGRAM - COST SHARE,CRP,Conservation Reserve Program,1988,2012,2008,2010
3101,CONSERVATION RESERVE PROGRAM - ANNUAL LAND RENTAL,CRP,Conservation Reserve Program,1992,2008,2008,2010
3130,CRP PAYMENT - ANNUAL PAYMENT,CRP,Conservation Reserve Program,1996,2010,2008,2010
3130,CRP PAYMENT - ANNUAL RENTAL,CRP,Conservation Reserve Program,1996,2010,2011,2011
3131,CRP PAYMENT - ANNUAL RENTAL,CRP,Conservation Reserve Program,1996,2012,2011,2019
3101,CRP PAYMENT - ANNUAL,CRP,Conservation Reserve Program,1998,2008,2011,2013
3132,CRP PAYMENT - ANNUAL RENTAL,CRP,Conservation Reserve Program,1998,2025,2013,2025
6390,CRP ANNUAL RENTAL,CRP,Conservation Reserve Program,1998,2008,2008,2009
6395,CRP ANNUAL RENTAL,CRP,Conservation Reserve Program,1998,2008,2008,2010
6801,CRP ANNUAL RENTAL,CRP,Conservation Reserve Program,1998,2008,2008,2010
3105,"CONSERVATION RESERVE PROGRAM CANCELLATION, MISACTION",CRP,Conservation Reserve Program,2000,2010,2008,2010
3310,CRP WETLAND RESTORATION PROGRAM,CRP,Conservation Reserve Program,2000,2010,2008,2010
3320,CRP - PRACTICE INCENTIVE,CRP,Conservation Reserve Program,2000,2011,2008,2010
3325,CRP - SIGNING INCENTIVE,CRP,Conservation Reserve Program,2000,2011,2008,2010
3110,CRP - RIPARIAN BUFFER INCENTIVE,CRP,Conservation Reserve Program,2001,2011,2008,2010
3322,CRP INCENTIVES,CRP,Conservation Reserve Program,2002,2011,2010,2010
3338,CRP TRANSITION INCENTIVES PRGM,CRP,Conservation Reserve Program,2004,2015,2020,2025
3120,CRP - EMERGENCY FORESTRY ANNUAL RENTAL,CRP,Conservation Reserve Program,2007,2007,2008,2008
3121,CRP - EMERGENCY FORESTRY COST SHARE,CRP,Conservation Reserve Program,2007,2011,2008,2015
3125,CRP - EMERGENCY FORESTRY ANNUAL RENTAL,CRP,Conservation Reserve Program,2007,2009,2008,2011
3126,CRP - EMERGENCY FORESTRY COST SHARE,CRP,Conservation Reserve Program,2007,2009,2014,2015
3128,CRP - EMERGENCY FORESTRY ANNUAL RENTAL,CRP,Conservation Reserve Program,2007,2009,2011,2020
3129,CRP - EMERGENCY FORESTRY ANNUAL RENTAL,CRP,Conservation Reserve Program,2007,2009,2013,2020
3133,CRP - EMERGENCY FORESTRY COST SHARE,CRP,Conservation Reserve Program,2007,2009,2015,2019
3351,CRP CHESAPEAKE BAY INCENTIVE,CRP,Conservation Reserve Program,2014,2014,2015,2016
3349,CRP HONEY BEE INCENTIVE PAYMNTS,CRP,Conservation Reserve Program,2015,2018,2015,2019
3352,CRP - TREE THINNING INCENTIVE PROGRAM,CRP,Conservation Reserve Program,2016,2020,2017,2020
3353,CHESAPEAKE BAY INCENTIVE,CRP,Conservation Reserve Program,2016,2025,2022,2025
3353,CRP - CHESAPEAKE BAY INCENTIVE,CRP,Conservation Reserve Program,2016,2022,2016,2020
3356,CRP FOREST INVENTORY PILOT PROGRAM,CRP,Conservation Reserve Program,2018,2018,2019,2019
3359,CRP PRACTICE INCENTIVES PAYMENT,CRP,Conservation Reserve Program,2020,2020,2020,2025
3360,CRP CLEAR30 MAINT PRGM,CRP,Conservation Reserve Program,2020,2025,2022,2025
3307,CRP COST-SHARE WEB-BASED - COF,CRP,Conservation Reserve Program,2021,2025,2020,2025
3358,CRP FOREST MANAGEMENT INCENTIVE,CRP,Conservation Reserve Program,2021,2024,2022,2025
3361,CRP - CONTINUOUS PIP,CRP,Conservation Reserve Program,2021,2025,2020,2025
2440,COTTON TRANSITION ASSISTANCE PROGRAM,CTAP,Cotton Transition Assistance Program,2014,2015,2014,2017
2442,COTTON TRANSITION ASSISTANCE PROGRAM,CTAP,Cotton Transition Assistance Program,2014,2014,2017,2025
6740,DIRECT AND COUNTER CYCLICAL PROG,DCP,Direct and Counter-Cyclical Program,2002,2009,2008,2010
6742,DCP - DIRECT,DCP,Direct and Counter-Cyclical Program,2002,2013,2011,2018
6742,DCP PROGRAM - DIRECT PAYMENTS,DCP,Direct and Counter-Cyclical Program,2002,2011,2009,2010
6745,DIRECT AND COUNTER CYCLICAL PROG,DCP,Direct and Counter-Cyclical Program,2002,2008,2008,2010
6747,DCP - COUNTER CYCLICAL,DCP,Direct and Counter-Cyclical Program,2002,2010,2011,2017
6747,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,DCP,Direct and Counter-Cyclical Program,2003,2009,2009,2010
6740,DIRECT PAYMENT - CORN,DCP,Direct and Counter-Cyclical Program,2007,2009,2011,2014
6740,DIRECT PAYMENT - PEANUTS,DCP,Direct and Counter-Cyclical Program,2007,2009,2011,2014
6740,DIRECT PAYMENT - WHEAT,DCP,Direct and Counter-Cyclical Program,2007,2009,2011,2014
6745,COUNTER CYCLICAL PAYMENT - UPLAND COTTON,DCP,Direct and Counter-Cyclical Program,2007,2008,2011,2012
6740,DIRECT PAYMENT - BARLEY,DCP,Direct and Counter-Cyclical Program,2008,2009,2011,2014
6740,DIRECT PAYMENT - OATS,DCP,Direct and Counter-Cyclical Program,2008,2009,2011,2012
6740,DIRECT PAYMENT - RICE,DCP,Direct and Counter-Cyclical Program,2008,2009,2011,2014
6740,DIRECT PAYMENT - SORGHUM,DCP,Direct and Counter-Cyclical Program,2008,2009,2011,2014
6740,DIRECT PAYMENT - SOYBEANS,DCP,Direct and Counter-Cyclical Program,2008,2009,2011,2014
6740,DIRECT PAYMENT - SUNFLOWER SEED,DCP,Direct and Counter-Cyclical Program,2008,2009,2011,2014
6740,DIRECT PAYMENT - UPLAND COTTON,DCP,Direct and Counter-Cyclical Program,2008,2009,2011,2014
6740,DIRECT PAYMENT - FLAXSEED,DCP,Direct and Counter-Cyclical Program,2009,2009,2011,2011
6740,DIRECT PAYMENT - SAFFLOWER SEED,DCP,Direct and Counter-Cyclical Program,2009,2009,2011,2014
6744,ACRE DIRECT PAYMENTS,DCP,Direct and Counter-Cyclical Program,2009,2011,2009,2010
6752,DCP - DIRECT,DCP,Direct and Counter-Cyclical Program,2009,2013,2017,2024
6753,DCP - COUNTER CYCLICAL,DCP,Direct and Counter-Cyclical Program,2009,2009,2017,2017
2737,05 - 07 DAIRY DISASTER PROG,DDAPP,Dairy Disaster Assistance Payment Program,2008,2008,2008,2008
2765,DAIRY ECONOMIC LOSS ASSISTANCE PROGRAM,DELAP,Dairy Economic Loss Assistance Program,2009,2010,2009,2013
2828,DAIRY ECONOMIC LOSS ASSISTANCE PROGRAM,DELAP,Dairy Economic Loss Assistance Program,2010,2010,2013,2014
7900,DAIRY INDEMNITY PROGRAM,DIPP,Dairy Indemnity Payment Program,2007,2010,2008,2010
7900,INDEMNITY PAYMENT - DAIRY,DIPP,Dairy Indemnity Payment Program,2011,2020,2011,2020
7902,DIPP WEB-BASED,DIPP,Dairy Indemnity Payment Program,2021,2023,2020,2023
8025,MARGIN PROTECTION PROGRAM - DAIRY,DMC,Dairy Margin Coverage Program,2015,2018,2015,2023
8030,MARGIN PROTECTION  - DAIRY,DMC,Dairy Margin Coverage Program,2018,2018,2019,2020
8053,DAIRY MARGIN COVERAGE PROGRAM,DMC,Dairy Margin Coverage Program,2019,2019,2019,2024
8053,DAIRY MARGIN COVERAGE,DMC,Dairy Margin Coverage Program,2020,2024,2020,2025
8055,DMC PRGM-SUPPLEMENTAL,DMC,Dairy Margin Coverage Program,2021,2023,2022,2025
8055,DAIRY MARGIN COVERAGE-SUPP,DMC,Dairy Margin Coverage Program,2022,2023,2024,2024
4005,EMERGENCY CONSERVATION PROGRAM - OTHER,ECP,Emergency Conservation Program,2008,2008,2008,2008
4020,EMERGENCY CONSERVATION - SOUTHERN CALIFORNIA,ECP,Emergency Conservation Program,2008,2008,2008,2008
4205,EMERGENCY CONSERVATION PROGRAM - FLOOD,ECP,Emergency Conservation Program,2008,2008,2008,2008
4305,EMERGENCY CONSERVATION PROGRAM - TORNADO,ECP,Emergency Conservation Program,2008,2008,2008,2008
4330,EMERGENCY CONSERVATION PROGRAM - KANSAS TORNADOS,ECP,Emergency Conservation Program,2008,2008,2008,2008
4405,EMERGENCY CONSERVATION PROGRAM - DROUGHT,ECP,Emergency Conservation Program,2008,2008,2008,2008
4820,EMERGENCY CONSERVATION - HURRICANE GULF MEXICO,ECP,Emergency Conservation Program,2008,2008,2008,2008
4005,CONSERVATION - EMERGENCY,ECP,Emergency Conservation Program,NA,NA,2011,2013
4020,EMERGENCY CONSERV - SOUTHERN CALIFORNIA,ECP,Emergency Conservation Program,NA,NA,2011,2011
4040,EMERGENCY CONSERVATION PROGRAM,ECP,Emergency Conservation Program,NA,NA,2011,2025
4041,ECP PRIVATE SECTOR TECHNICAL ASSISTANCE,ECP,Emergency Conservation Program,NA,NA,2013,2023
4042,EMERGENCY CONSERVATION PROGRAM FY17,ECP,Emergency Conservation Program,NA,NA,2017,2024
4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,ECP,Emergency Conservation Program,NA,NA,2012,2025
4053,ECP SANDY STAFFORD COST SHARE,ECP,Emergency Conservation Program,NA,NA,2013,2015
4056,ECP COST SHARE FY 2018,ECP,Emergency Conservation Program,NA,NA,2018,2020
4056,ECP HURICNS HARVEY/IRMA/MARIA-CSTSHRFY18,ECP,Emergency Conservation Program,NA,NA,2022,2024
4058,ECP/HMC COST SHARE FY19,ECP,Emergency Conservation Program,NA,NA,2019,2025
4060,ECPCOF,ECP,Emergency Conservation Program,NA,NA,2020,2025
4063,ECPSFCOF,ECP,Emergency Conservation Program,NA,NA,2020,2025
4064,WECPCSCOF,ECP,Emergency Conservation Program,NA,NA,2020,2025
4068,ECP PRIVATE SECTOR TECHNICAL ASSTNCE COF,ECP,Emergency Conservation Program,NA,NA,2023,2025
4205,EMERGENCY CONSERVATION - FLOOD,ECP,Emergency Conservation Program,NA,NA,2011,2013
4305,"EMERGENCY CONSERVATION - TORNADO, AUTO",ECP,Emergency Conservation Program,NA,NA,2011,2011
4405,"EMERGENCY CONSERVATION - DROUGHT, AUTO",ECP,Emergency Conservation Program,NA,NA,2011,2012
4600,EMERGENCY CONSERVATION - TECH SERVICES,ECP,Emergency Conservation Program,NA,NA,2011,2014
4805,"EMERG CONSERVATION - HURRICANE, AUTO",ECP,Emergency Conservation Program,NA,NA,2011,2011
4820,EMERG CONSV - HURRICANE GULF OF MEXICO,ECP,Emergency Conservation Program,NA,NA,2011,2011
3340,EMERGENCY FORESTRY RESTORATION PROGRAM,EFRP,Emergency Forest Restoration Program,NA,NA,2011,2020
3344,EMERGENCY FOREST RESTORATION STAFFORD,EFRP,Emergency Forest Restoration Program,NA,NA,2012,2023
3347,EFRP SANDY STAFFORD COST SHARE,EFRP,Emergency Forest Restoration Program,NA,NA,2013,2017
3362,EFRPCSOF,EFRP,Emergency Forest Restoration Program,NA,NA,2022,2025
2525,EMERGENCY LIVESTOCK FEED ASSISTANCE,LAP,Livestock Assistance Program,2005,2005,2008,2008
2526,LIVESTOCK ASSISTANCE PROGRAM,LAP,Livestock Assistance Program,2005,2005,2005,2007
2572,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),ELAP,"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish",2008,2009,2011,2012
2572,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",ELAP,"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish",2008,2009,2010,2010
2567,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),ELAP,"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish",2010,2011,2011,2016
2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),ELAP,"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish",2012,2025,2014,2025
2911,EMERGENCY LIVESTOCK RELIEF PROGRAM,ELRP,Emergency Livestock Relief Program,2021,2021,2022,2025
2933,EMERGENCY LIVESTOCK RELIEF PROGRAM - CAA,ELRP,Emergency Livestock Relief Program,2022,2022,2023,2025
5239,EWE LAMB REPLACEMENT OR RETENTION,ELRRPP,Ewe Lamb Replacement and Retention Payment Program,2004,9999,2005,2006
2436,EMGNCY RELIEF PROGRAM-SPECIALITY CROPS,ERP,Emergency Relief Program,2020,2022,2022,2025
2437,EMGNCY RELIEF PRGM-NONSPECIALITY CROPS,ERP,Emergency Relief Program,2020,2022,2022,2025
2438,EMERGENCY RELIEF PRGM 2,ERP,Emergency Relief Program,2020,2021,2023,2025
2439,EMERGENCY RELIEF PRGM 2,ERP,Emergency Relief Program,2020,2021,2023,2025
2445,EMRGNCY RELIEF PRGM TRACK 1-SPECLTY CRPS,ERP,Emergency Relief Program,2022,2022,2024,2025
2446,EMRGNCY RELIEF PRGM TRK 1-NONSPCLTY CRPS,ERP,Emergency Relief Program,2022,2022,2023,2025
2447,EMRGNCY RELIEF PRGM TRACK 2-SPECLTY CRPS,ERP,Emergency Relief Program,2022,2022,2023,2025
2448,EMRGNCY RELIEF PRGM TRK 2-NONSPCLTY CRPS,ERP,Emergency Relief Program,2022,2022,2023,2025
1005,STORAGE FORGIVEN,FSFL,Farm Storage Facility Loan Program,2006,2009,2008,2009
6395,"HAY GRAZING, MANAGED",GO,Graze Out Program,1987,2015,2011,2016
6390,HAY GRAZING,GO,Graze Out Program,1997,2016,2011,2016
5260,ACREAGE GRAZING PAYMENTS,GO,Graze Out Program,2009,2010,2010,2010
5261,ACREAGE GRAZING PAYMENTS - TRITICALE,GO,Graze Out Program,2016,2016,2016,2017
5261,ACREAGE GRAZING PAYMENTS - WHEAT,GO,Graze Out Program,2016,2016,2016,2017
3050,GRASSLANDS RESERVE PROGRAM,GRP,Grasslands Reserve Program,2003,2011,2008,2013
3053,GRASSLAND RESERVE PROGRAM-ANNUAL RENTAL,GRP,Grasslands Reserve Program,2003,2009,2016,2018
3070,GRASSLANDS RESERVE PROGRAM,GRP,Grasslands Reserve Program,2003,2013,2012,2025
3052,GRASSLANDS RESERVE PROGRAM,GRP,Grasslands Reserve Program,2004,2004,2008,2008
3052,GRASSLANDS RESERVE SPECIAL FUNDING,GRP,Grasslands Reserve Program,2004,2004,2011,2012
3056,GRASSLAND RESERVE PROGRAM - EASEMENT,GRP,Grasslands Reserve Program,2010,2010,2015,2015
2721,HURRICANE INDEMNITY PROGRAM,HIP,Hurricane Indemnity Program,2005,2005,2009,2009
2749,"HURRICANE INDEMNITY PROGRAM, AUTHORIZED",HIP,Hurricane Indemnity Program,2005,2005,2009,2012
2776,HAWAII SUGAR DISASTER PROGRAM,HSDP,Hawaii Sugar Disaster Program,2009,2009,2010,2010
2300,INTEREST PENALTY,Interest-Penalty,Interest Payment,2008,2008,2008,2008
2310,ADDITIONAL INTEREST PENALTY,Interest-Penalty,Interest Payment,2008,2008,2008,2008
2556,LIVESTOCK COMPENSATION PROGRAM - HURRICANE,LCP,Livestock Compensation Program,2005,2005,2008,2008
2561,05 - 07 LIVESTOCK COMPENSATION PROGRAM,LCP,Livestock Compensation Program,2008,2008,2008,2008
2561,LIVESTOCK COMPENSATION PROGRAM,LCP,Livestock Compensation Program,NA,NA,2011,2011
5201,LOAN DEFICIENCY,LDP,Loan Defiency Program,2004,2010,2008,2010
5207,LOAN DEFICIENCY,LDP,Loan Defiency Program,2005,2010,2008,2010
5205,LOAN DEFICIENCY,LDP,Loan Defiency Program,2007,2010,2008,2010
2564,LIVESTOCK FORAGE DISASTER  PROGRAM,LFP,Livestock Forage Program,2008,2010,2009,2010
2564,LIVESTOCK FORAGE DISASTER PROGRAM,LFP,Livestock Forage Program,2008,2010,2011,2011
2571,LIVESTOCK FORAGE DISASTER PROGRAM,LFP,Livestock Forage Program,2008,2011,2011,2023
2580,LIVESTOCK FORAGE DISASTER PROGRAM,LFP,Livestock Forage Program,2008,2008,2012,2013
2835,LIVESTOCK FORAGE PROGRAM,LFP,Livestock Forage Program,2011,2024,2014,2025
2833,LIVESTOCK FORAGE PROGRAM,LFP,Livestock Forage Program,2018,2022,2022,2022
2570,LIVESTOCK INDEMNITY PROGRAM,LIP,Livestock Indemnity Program,2005,2005,2008,2008
2521,05 - 07 LIVESTOCK INDEMNITY PROGRAM,LIP,Livestock Indemnity Program,2008,2008,2008,2008
2566,LIVESTOCK INDEMNITY PROGRAM,LIP,Livestock Indemnity Program,2008,2010,2009,2010
2569,LIVESTOCK INDEMNITY PAYMENTS,LIP,Livestock Indemnity Program,2008,2010,2010,2010
2569,LIVESTOCK INDEMNITY PROGRAM,LIP,Livestock Indemnity Program,2008,2011,2011,2017
2581,LIVESTOCK INDEMNITY - TRUST FUND,LIP,Livestock Indemnity Program,2008,2008,2013,2013
2832,LIVESTOCK INDEMNITY PROGRAM,LIP,Livestock Indemnity Program,2011,2021,2014,2020
2832,LIVESTOCK INDEMINITY PAYMENTS PROGRAM,LIP,Livestock Indemnity Program,2015,2025,2022,2025
2522,LIVESTOCK INDEMNITY PROGRAM AUTHORIZED,LIP,Livestock Indemnity Program,NA,NA,2011,2011
1000,MARKET GAINS,MAL,Market Assistance Loan,2007,2010,2008,2010
1001,MARKET GAINS,MAL,Market Assistance Loan,2007,2009,2008,2010
1030,MARKET GAINS,MAL,Market Assistance Loan,2007,2009,2008,2010
7610,MARKET ACCESS PROGRAM,MAP,Market Access Program,2006,2024,2011,2024
2867,MARKET FACILITATION PROGRAM - CROPS,MFP,Market Facilitation Program,2018,2018,2018,2023
2868,MARKET FACILITATION PROGRAM - DAHG,MFP,Market Facilitation Program,2018,2018,2018,2020
2870,MARKET FACILITATION PROG-SPECIALTY CROPS,MFP,Market Facilitation Program,2018,2018,2018,2022
2877,TMP/MFP 2019 NON SPECIALTY CROPS,MFP,Market Facilitation Program,2019,2019,2019,2023
2878,TMP/MFP 2019 SPECIALITY CROPS,MFP,Market Facilitation Program,2019,2019,2019,2023
2879,TMP/MFP 2019 LIVESTOCK,MFP,Market Facilitation Program,2019,2019,2019,2022
2880,TMP/MFP 2019 NON-SPECIALITY CROPS-A,MFP,Market Facilitation Program,2019,2019,2019,2020
8020,MILK INCOME LOSS CONTRACT II,MILC,Milk Income Loss Contract Program,2001,2010,2008,2010
8016,INCOME LOSS TRANSITION - MILK,MILC,Milk Income Loss Contract Program,2002,2005,2004,2006
8011,INCOME LOSS - MILK,MILC,Milk Income Loss Contract Program,2003,2005,2004,2006
8020,"INCOME LOSS - MILK, PART 2",MILC,Milk Income Loss Contract Program,2006,2013,2006,2017
2435,MILK LOSS PROGRAM,MLP,Milk Loss Program,2020,2021,2023,2024
2444,MILK LOSS PROGRAM,MLP,Milk Loss Program,2022,2022,2023,2024
2695,NONINSURED ASSISTANCE PROGRAM,NAP,Non-Insured Crop Disaster Assistance Program,2003,2008,2008,2010
2622,NONINSURED ASSISTANCE PROGRAM,NAP,Non-Insured Crop Disaster Assistance Program,2006,2010,2008,2012
2695,NON-INSURED ASSISTANCE PROG AUTHORIZED,NAP,Non-Insured Crop Disaster Assistance Program,2006,2017,2011,2020
2633,LOSS ADJUSTER - NAP,NAP,Non-Insured Crop Disaster Assistance Program,2009,2013,2011,2012
2775,NON-INSURED ASSISTANCE PROGRAM,NAP,Non-Insured Crop Disaster Assistance Program,2011,2025,2011,2025
2843,NON-INSURED ASSISTANCE FROST FREE,NAP,Non-Insured Crop Disaster Assistance Program,2012,2012,2014,2016
2775,WEB-BASED NAP,NAP,Non-Insured Crop Disaster Assistance Program,2018,2022,2022,2025
2920,NAP REGULAR WEB-BASED,NAP,Non-Insured Crop Disaster Assistance Program,2019,2025,2019,2025
6140,AMA ORGANIC COST SHARE - CROPS,OCCSP,Organic Certification Cost Share Program,2017,2019,2017,2019
6140,AMA ORGANIC COST SHARE - LIVESTOCK,OCCSP,Organic Certification Cost Share Program,2017,2019,2017,2019
6140,AMA ORGANIC COST SHARE - WILD CROPS,OCCSP,Organic Certification Cost Share Program,2017,2017,2017,2017
6150,CCC ORGANIC COST SHARE - CROPS,OCCSP,Organic Certification Cost Share Program,2017,2024,2017,2025
6150,CCC ORGANIC COST SHARE - LIVESTOCK,OCCSP,Organic Certification Cost Share Program,2017,2024,2017,2025
6150,CCC ORGANIC COST SHARE - WILD CROPS,OCCSP,Organic Certification Cost Share Program,2017,2024,2017,2025
6152,CCC ORGANIC COST SHARE FEES - HANDLING,OCCSP,Organic Certification Cost Share Program,2017,2024,2017,2025
6152,ORGANIC COST SHARE FEES- ST ORG PGM FEES,OCCSP,Organic Certification Cost Share Program,2017,2024,2017,2025
2938,ORGANIC DAIRY MARKETING ASSISTANCE PRGM,ODMAP,Organic Dairy Marketing Assistance Program,2023,2024,2023,2025
8291,ORGANIC & TRANSITIONAL EDU & CERT PRGM,OTECP,Organic and Transitional Education and Certification Program,2020,2022,2022,2025
6730,MARKET LOSS ASSISTANCE,Other,Other Programs,2001,2001,2008,2008
3110,INCENTIVE PAYMENTS - RIPARIAN BUFFER,Other,Other Programs,2002,2014,2011,2014
2677,TECHNICAL ASSISTANCE - SPECIALTY CROPS,Other,Other Programs,2008,2021,2011,2020
4030,EMERGENCY COMPENSATION PROGRAM - AGI,Other,Other Programs,2008,2008,2008,2008
2743,MARKET LOSS ASSISTANCE-FRESH ASPARAGUS,Other,Other Programs,2009,2009,2011,2011
2758,MARKET LOSS ASSISTANCE-PROCESS ASPARAGUS,Other,Other Programs,2009,2009,2011,2011
2778,AQUACULTURE GRANT PROGRAM,Other,Other Programs,2009,2009,2011,2011
2771,DURUM WHEAT QUALITY PROGRAM,Other,Other Programs,2010,2010,2010,2011
2854,BIOFUEL INFRASTRUCTURE PROGRAM,Other,Other Programs,2015,2015,2016,2019
2882,ORIENTAL FRUIT FLY,Other,Other Programs,2015,2015,2022,2022
2885,PECAN TREES - ADDTNL SUPLMNTL APPROP,Other,Other Programs,2018,2018,2022,2022
1225,ECONOMIC ADJUSTMENT ASSIST-UPLAND COTTON,Other,Other Programs,2019,2019,2019,2019
2887,FARM RANCHERS PROGRAM,Other,Other Programs,2020,2020,2022,2022
2677,TASCP,Other,Other Programs,2021,2023,2024,2024
2921,FARM RANCHERS PROGRAM,Other,Other Programs,2021,2021,2022,2022
2922,FARM RANCHERS PROGRAM,Other,Other Programs,2022,2024,2023,2025
8293,FOOD SAFETY CERTFCTN-SPECIALITY CROPS,Other,Other Programs,2022,2024,2022,2025
2443,EMERGENCY GRAIN STORAGE FACILITY ASSTNCE,Other,Other Programs,2023,2023,2023,2025
7902,NA,Other,Other Programs,2024,2025,2024,2025
3357,ERP/HMC COST SHARE FY19,Other,Other Programs,NA,NA,2020,2025
3364,EFPSTACSOF,Other,Other Programs,NA,NA,2022,2024
3365,ERFMCFSOF,Other,Other Programs,NA,NA,2020,2025
4061,WECPCOF,Other,Other Programs,NA,NA,2022,2025
4062,WECP17OF,Other,Other Programs,NA,NA,2022,2025
